theta_jn	psi	phase	spin1	spin2	geocent_time	ms	mr	ra	dec	luminosity_distance_Mpc	mass_1_source	mass_2_source	lambda1	lambda2	H1	L1	V1	K1
1.315189061103592	1.8058624916845019	4.804648243803058	-0.0022020135943379435	-0.014104936522331933	1350313224.338565	1.2354437204594637	1.329383916759069	1.0797128780816194	0.6365584919160117	274.785737491	1.329383916759069	1.2354437204594637	363.8481426249074	564.7874770153095	False	False	True	True
1.6483687154107605	0.37621146934872335	2.216639111112419	0.007215727653775308	0.007321003494857433	1333576463.9352684	1.386098386300452	1.365404051553307	0.04894898060265737	-0.3356251745490127	326.201363357	1.386098386300452	1.365404051553307	280.76755879842193	309.32267238171534	True	False	False	True
1.1062612099632612	1.5986355029879296	4.147371752832559	0.01708019622873279	0.008760730444550712	1352156230.2127576	1.2893258203108922	1.3671455247320614	6.164764717431771	-0.47410909199337364	297.852	1.3671455247320614	1.2893258203108922	307.0582550473801	432.39684227330616	True	True	True	True
2.7772967360972003	1.6867733259777422	1.7801180988152006	-0.0015716469030625233	0.000731693758518034	1336396615.7805593	1.1978815230455504	1.3168358833042941	0.07275404986938362	-0.007738266304567258	283.870345388	1.3168358833042941	1.1978815230455504	384.52673367386404	675.063405776883	False	True	True	False
1.5866450021760197	2.7510645635118482	0.9809409341920429	0.02028122430381613	0.013085241916001201	1351392150.3781574	1.30875533347368	1.6431045325530398	3.449154574376234	-0.010140362954087054	361.41	1.6431045325530398	1.30875533347368	89.9089563762165	400.12177670388314	False	True	True	False
1.9870083617475793	1.1924665658343423	2.277094003943298	0.008798586524895092	0.02524681503546619	1355599954.2858467	1.1673894506860714	1.3633988919707984	3.1407374422563157	-0.21818535512106313	208.536085766	1.3633988919707984	1.1673894506860714	311.8926427016073	791.5544004097824	False	False	True	False
0.13887664827094737	1.6410610648008672	3.450781871527593	-0.025717033134091162	0.005064050247105919	1327013422.6015484	1.2913551768142824	1.589004091359072	2.8195445000117996	0.1356190641969674	378.443	1.589004091359072	1.2913551768142824	113.48812856180942	430.4481696914526	True	True	False	False
1.9531973041492783	0.6897009554155757	1.3835041103404602	0.003507720929262113	-0.023359788356421354	1348702023.8301418	1.3765642079267848	1.3544521682452926	5.520841599297459	-0.7563227757483523	216.948957802	1.3765642079267848	1.3544521682452926	293.86518491492717	323.4217644020058	True	False	True	True
2.7410511874340444	2.208579694126021	3.2214964192097484	0.0021413043349444373	-0.0004652300032617633	1337890061.1291137	1.3399473147154766	1.3495520493772621	0.7922637999826034	0.7288390062040275	302.924526525	1.3495520493772621	1.3399473147154766	330.2589274326184	345.9100134134601	False	True	False	False
1.261508243209827	0.761600143924432	4.585525761997039	-0.005772184089311314	-0.043018390577109475	1347175172.2810943	1.232275659438678	1.3867158594365285	3.9592550084461937	-0.860099372393527	227.38930651	1.3867158594365285	1.232275659438678	280.0229787813245	573.1613074819477	False	True	True	True
